dataset,configuration,cvi,algorithm
hypercube,"[[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=8)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=8)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=11)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=74)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=46)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=40)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=11)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=8)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=51)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=54)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
sizes4,"[[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=1.8126463670925002,kernel_params=None,n_clusters=21,n_components=None,n_init=9,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.579633778896692,kernel_params=None,n_clusters=20,n_components=None,n_init=15,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.4640388347276452,kernel_params=None,n_clusters=24,n_components=None,n_init=3,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.854031097800348,kernel_params=None,n_clusters=45,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=0.7800630839355145,kernel_params=None,n_clusters=2,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.9491797814992187,kernel_params=None,n_clusters=30,n_components=None,n_init=5,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=2.027145623480462,kernel_params=None,n_clusters=76,n_components=None,n_init=18,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=0.9309669383080703,kernel_params=None,n_clusters=45,n_components=None,n_init=15,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.1474916673198248,kernel_params=None,n_clusters=28,n_components=None,n_init=15,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.9304123762451018,kernel_params=None,n_clusters=66,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
ds3c3sc6,"[[DBSCAN(algorithm='auto',eps=7,leaf_size=2,metric='manhattan',metric_params=None,min_samples=15,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=6,leaf_size=3,metric='cityblock',metric_params=None,min_samples=200,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=0.5,leaf_size=2,metric='l2',metric_params=None,min_samples=15,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=0.3,leaf_size=3,metric='cityblock',metric_params=None,min_samples=50,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=6,leaf_size=2,metric='manhattan',metric_params=None,min_samples=10,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=6,leaf_size=1,metric='cityblock',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=1,leaf_size=2,metric='euclidean',metric_params=None,min_samples=15,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=5,leaf_size=1,metric='l1',metric_params=None,min_samples=150,n_jobs=None,p=1)],[DBSCAN(algorithm='kd_tree',eps=10,leaf_size=3,metric='l1',metric_params=None,min_samples=50,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=1,leaf_size=3,metric='cityblock',metric_params=None,min_samples=30,n_jobs=None,p=3)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
ds577,"[[DBSCAN(algorithm='ball_tree',eps=0.5,leaf_size=2,metric='l2',metric_params=None,min_samples=15,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=2,metric='euclidean',metric_params=None,min_samples=15,n_jobs=None,p=2)],[DBSCAN(algorithm='auto',eps=0.5,leaf_size=3,metric='l2',metric_params=None,min_samples=15,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=3,metric='l2',metric_params=None,min_samples=15,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=0.5,leaf_size=3,metric='l2',metric_params=None,min_samples=15,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=0.5,leaf_size=1,metric='euclidean',metric_params=None,min_samples=15,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=0.5,leaf_size=2,metric='euclidean',metric_params=None,min_samples=15,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=2,metric='euclidean',metric_params=None,min_samples=15,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=1,metric='l2',metric_params=None,min_samples=15,n_jobs=None,p=1)],[DBSCAN(algorithm='brute',eps=0.5,leaf_size=2,metric='euclidean',metric_params=None,min_samples=15,n_jobs=None,p=2)]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
2d-4c-no4,"[[DBSCAN(algorithm='auto',eps=2,leaf_size=1,metric='euclidean',metric_params=None,min_samples=50,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=2,leaf_size=3,metric='euclidean',metric_params=None,min_samples=50,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=2,leaf_size=2,metric='euclidean',metric_params=None,min_samples=50,n_jobs=None,p=2)],[DBSCAN(algorithm='ball_tree',eps=2,leaf_size=3,metric='euclidean',metric_params=None,min_samples=50,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=2,leaf_size=3,metric='l2',metric_params=None,min_samples=50,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=2,leaf_size=2,metric='euclidean',metric_params=None,min_samples=50,n_jobs=None,p=2)],[DBSCAN(algorithm='brute',eps=2,leaf_size=2,metric='euclidean',metric_params=None,min_samples=50,n_jobs=None,p=2)],[DBSCAN(algorithm='kd_tree',eps=2,leaf_size=3,metric='l2',metric_params=None,min_samples=50,n_jobs=None,p=3)],[DBSCAN(algorithm='brute',eps=2,leaf_size=3,metric='l2',metric_params=None,min_samples=50,n_jobs=None,p=3)],[DBSCAN(algorithm='auto',eps=1,leaf_size=1,metric='euclidean',metric_params=None,min_samples=5,n_jobs=None,p=1)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
balance-scale,"[[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.7757646792124073,kernel_params=None,n_clusters=20,n_components=None,n_init=7,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.5486335849602466,kernel_params=None,n_clusters=5,n_components=None,n_init=7,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.5723236632595539,kernel_params=None,n_clusters=7,n_components=None,n_init=16,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.5096852579274526,kernel_params=None,n_clusters=73,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.8927503829938386,kernel_params=None,n_clusters=45,n_components=None,n_init=20,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.433347052815474,kernel_params=None,n_clusters=23,n_components=None,n_init=8,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.610577192798528,kernel_params=None,n_clusters=8,n_components=None,n_init=5,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.925670824202589,kernel_params=None,n_clusters=24,n_components=None,n_init=4,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.3395936479853234,kernel_params=None,n_clusters=68,n_components=None,n_init=6,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=0.9733516058017939,kernel_params=None,n_clusters=81,n_components=None,n_init=19,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
aggregation,"[[Birch(branching_factor=43,compute_labels=False,copy=True,n_clusters=3,threshold=1.5670502066333647)],[Birch(branching_factor=71,compute_labels=False,copy=False,n_clusters=3,threshold=1.018779108107208)],[Birch(branching_factor=27,compute_labels=False,copy=False,n_clusters=3,threshold=1.0496284381599466)],[Birch(branching_factor=51,compute_labels=False,copy=True,n_clusters=3,threshold=1.2845872052401452)],[Birch(branching_factor=89,compute_labels=True,copy=False,n_clusters=3,threshold=0.2246179229700404)],[Birch(branching_factor=13,compute_labels=False,copy=False,n_clusters=3,threshold=1.9074953120295286)],[Birch(branching_factor=81,compute_labels=True,copy=True,n_clusters=3,threshold=1.6437435856783056)],[Birch(branching_factor=55,compute_labels=False,copy=False,n_clusters=3,threshold=0.7395002060328917)],[Birch(branching_factor=65,compute_labels=True,copy=False,n_clusters=3,threshold=1.121345100373496)],[Birch(branching_factor=37,compute_labels=True,copy=True,n_clusters=3,threshold=0.3435688364776932)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
spiralsquare,"[[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=100)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=84)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=99)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=20)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=67)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=28)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=22)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=40)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=98)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=97)]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
gaussians1,"[[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.0574205207988356,kernel_params=None,n_clusters=53,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=2.8928779382002485,kernel_params=None,n_clusters=69,n_components=None,n_init=19,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=1.2969460632117256,kernel_params=None,n_clusters=5,n_components=None,n_init=17,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=0.9403126097704082,kernel_params=None,n_clusters=96,n_components=None,n_init=16,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.6747195207392647,kernel_params=None,n_clusters=43,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=2.416298750154546,kernel_params=None,n_clusters=93,n_components=None,n_init=14,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver=None,eigen_tol=0.0,gamma=0.729917562654135,kernel_params=None,n_clusters=58,n_components=None,n_init=12,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='lobpcg',eigen_tol=0.0,gamma=2.49492843365784,kernel_params=None,n_clusters=2,n_components=None,n_init=1,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='rbf',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='arpack',eigen_tol=0.0,gamma=1.4059678095421806,kernel_params=None,n_clusters=99,n_components=None,n_init=2,n_jobs=None,n_neighbors=10,random_state=None)],[SpectralClustering(affinity='nearest_neighbors',assign_labels='kmeans',coef0=1,degree=3,eigen_solver='amg',eigen_tol=0.0,gamma=1.7102578028169544,kernel_params=None,n_clusters=67,n_components=None,n_init=13,n_jobs=None,n_neighbors=10,random_state=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",spectral
rings,"[[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=14)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=13)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=16)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=13)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=70)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=14)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=13)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=13)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=76)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=18)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
zoo,"[[Birch(branching_factor=36,compute_labels=True,copy=False,n_clusters=3,threshold=1.0464821544548442)],[Birch(branching_factor=40,compute_labels=False,copy=True,n_clusters=3,threshold=1.5668417363181466)],[Birch(branching_factor=25,compute_labels=True,copy=True,n_clusters=3,threshold=0.2065478403820543)],[Birch(branching_factor=28,compute_labels=True,copy=True,n_clusters=3,threshold=1.3177448310176312)],[Birch(branching_factor=21,compute_labels=True,copy=False,n_clusters=3,threshold=0.34194564294482044)],[Birch(branching_factor=71,compute_labels=True,copy=True,n_clusters=3,threshold=0.3645967874931251)],[Birch(branching_factor=69,compute_labels=False,copy=False,n_clusters=3,threshold=0.3668242431993618)],[Birch(branching_factor=13,compute_labels=True,copy=False,n_clusters=3,threshold=0.32104563813376885)],[Birch(branching_factor=79,compute_labels=True,copy=True,n_clusters=3,threshold=0.33581961007581196)],[Birch(branching_factor=69,compute_labels=False,copy=False,n_clusters=3,threshold=1.4044694994542137)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
dense-disk-5000n,"[[Birch(branching_factor=49,compute_labels=True,copy=True,n_clusters=3,threshold=1.1771543818256567)],[Birch(branching_factor=42,compute_labels=False,copy=False,n_clusters=3,threshold=0.22621608926227366)],[Birch(branching_factor=23,compute_labels=True,copy=True,n_clusters=3,threshold=1.024297010193645)],[Birch(branching_factor=11,compute_labels=False,copy=False,n_clusters=3,threshold=0.8859277994571653)],[Birch(branching_factor=37,compute_labels=False,copy=False,n_clusters=3,threshold=0.23563374944210622)],[Birch(branching_factor=53,compute_labels=False,copy=True,n_clusters=3,threshold=0.23324394350833763)],[Birch(branching_factor=66,compute_labels=False,copy=False,n_clusters=3,threshold=0.7442160173492058)],[Birch(branching_factor=24,compute_labels=False,copy=True,n_clusters=3,threshold=0.9222803988440711)],[Birch(branching_factor=57,compute_labels=False,copy=True,n_clusters=3,threshold=1.052349934281683)],[Birch(branching_factor=29,compute_labels=False,copy=True,n_clusters=3,threshold=1.2204730056469373)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
ds4c2sc8,"[[DBSCAN(algorithm='auto',eps=2,leaf_size=1,metric='cityblock',metric_params=None,min_samples=10,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=0.3,leaf_size=3,metric='manhattan',metric_params=None,min_samples=30,n_jobs=None,p=3)],[DBSCAN(algorithm='ball_tree',eps=2,leaf_size=1,metric='manhattan',metric_params=None,min_samples=50,n_jobs=None,p=1)],[DBSCAN(algorithm='kd_tree',eps=0.8,leaf_size=1,metric='cityblock',metric_params=None,min_samples=20,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=0.3,leaf_size=1,metric='l2',metric_params=None,min_samples=100,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=7,leaf_size=1,metric='l1',metric_params=None,min_samples=15,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=4,leaf_size=1,metric='l1',metric_params=None,min_samples=200,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=3,leaf_size=1,metric='cityblock',metric_params=None,min_samples=50,n_jobs=None,p=1)],[DBSCAN(algorithm='auto',eps=5,leaf_size=1,metric='l2',metric_params=None,min_samples=200,n_jobs=None,p=1)],[DBSCAN(algorithm='ball_tree',eps=8,leaf_size=2,metric='l1',metric_params=None,min_samples=5,n_jobs=None,p=2)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",db
donut1,"[[AffinityPropagation(affinity='precomputed',convergence_iter=15,copy=True,damping=0.7147546583788292,max_iter=234,preference=None,verbose=False)],[AffinityPropagation(affinity='precomputed',convergence_iter=15,copy=True,damping=0.8978543391714982,max_iter=191,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.7034358124380542,max_iter=209,preference=None,verbose=False)],[AffinityPropagation(affinity='precomputed',convergence_iter=15,copy=True,damping=0.9376277872983998,max_iter=237,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.5183193479670554,max_iter=235,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.6273787751039672,max_iter=159,preference=None,verbose=False)],[AffinityPropagation(affinity='precomputed',convergence_iter=15,copy=True,damping=0.5583508599437634,max_iter=217,preference=None,verbose=False)],[AffinityPropagation(affinity='precomputed',convergence_iter=15,copy=True,damping=0.9514206464338393,max_iter=298,preference=None,verbose=False)],[AffinityPropagation(affinity='precomputed',convergence_iter=15,copy=True,damping=0.830805040230005,max_iter=105,preference=None,verbose=False)],[AffinityPropagation(affinity='euclidean',convergence_iter=15,copy=True,damping=0.8522708413132828,max_iter=116,preference=None,verbose=False)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ap
disk-3000n,"[[Birch(branching_factor=34,compute_labels=True,copy=False,n_clusters=3,threshold=1.8037203781240652)],[Birch(branching_factor=94,compute_labels=True,copy=True,n_clusters=3,threshold=0.9164908810114092)],[Birch(branching_factor=56,compute_labels=False,copy=False,n_clusters=3,threshold=1.7986148995171636)],[Birch(branching_factor=32,compute_labels=True,copy=False,n_clusters=3,threshold=0.2811103454709037)],[Birch(branching_factor=99,compute_labels=True,copy=False,n_clusters=3,threshold=1.9495010156464487)],[Birch(branching_factor=86,compute_labels=False,copy=True,n_clusters=3,threshold=1.1126959675719013)],[Birch(branching_factor=85,compute_labels=False,copy=True,n_clusters=3,threshold=1.9628026513811978)],[Birch(branching_factor=6,compute_labels=True,copy=False,n_clusters=3,threshold=1.0445166127384495)],[Birch(branching_factor=9,compute_labels=True,copy=True,n_clusters=3,threshold=0.8801003705238166)],[Birch(branching_factor=88,compute_labels=False,copy=False,n_clusters=3,threshold=0.7929997685311823)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
cuboids,"[[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='single',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='cosine',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=69)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='l2',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='ward',memory=None,n_clusters=54)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='euclidean',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=4)],[AgglomerativeClustering(affinity='l1',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='average',memory=None,n_clusters=48)],[AgglomerativeClustering(affinity='manhattan',compute_full_tree='auto',connectivity=None,distance_threshold=None,linkage='complete',memory=None,n_clusters=4)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",ag
blobs,"[[Birch(branching_factor=63,compute_labels=False,copy=True,n_clusters=3,threshold=1.1683916157409382)],[Birch(branching_factor=92,compute_labels=True,copy=False,n_clusters=3,threshold=0.22535710601760775)],[Birch(branching_factor=22,compute_labels=True,copy=True,n_clusters=3,threshold=1.8636357903303238)],[Birch(branching_factor=98,compute_labels=False,copy=False,n_clusters=3,threshold=1.7346202330843439)],[Birch(branching_factor=46,compute_labels=False,copy=True,n_clusters=3,threshold=0.7194448299415754)],[Birch(branching_factor=25,compute_labels=True,copy=True,n_clusters=3,threshold=1.2468652137691034)],[Birch(branching_factor=50,compute_labels=False,copy=False,n_clusters=3,threshold=1.9018574243779673)],[Birch(branching_factor=37,compute_labels=True,copy=True,n_clusters=3,threshold=1.1278076336710707)],[Birch(branching_factor=78,compute_labels=True,copy=True,n_clusters=3,threshold=1.514142509163975)],[Birch(branching_factor=29,compute_labels=False,copy=False,n_clusters=3,threshold=1.8373482788126925)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",birch
2sp2glob,"[[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=True,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=4,bin_seeding=False,cluster_all=True,max_iter=200,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=5,bin_seeding=True,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=4,bin_seeding=False,cluster_all=True,max_iter=400,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=False,max_iter=300,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=True,cluster_all=False,max_iter=600,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=None,bin_seeding=False,cluster_all=True,max_iter=500,min_bin_freq=1,n_jobs=None,seeds=None)],[MeanShift(bandwidth=4,bin_seeding=False,cluster_all=True,max_iter=700,min_bin_freq=1,n_jobs=None,seeds=None)]]","[['i_index', 1], ['modified_hubert_t', 1], ['banfeld_raferty', -1]]",meanshift
